datetime,open,high,low,close
2015-10-20T05:00:00.000000000Z,0.72693,0.72958,0.72679,0.72770
2015-10-20T09:00:00.000000000Z,0.72766,0.72982,0.72684,0.72862
2015-10-20T13:00:00.000000000Z,0.72858,0.72940,0.72534,0.72606
2015-10-20T17:00:00.000000000Z,0.72602,0.72646,0.72487,0.72601
2015-10-20T21:00:00.000000000Z,0.72607,0.72744,0.72560,0.72680
2015-10-21T01:00:00.000000000Z,0.72684,0.72762,0.72626,0.72732
2015-10-21T05:00:00.000000000Z,0.72736,0.72736,0.72106,0.72217
2015-10-21T09:00:00.000000000Z,0.72222,0.72342,0.72128,0.72134
2015-10-21T13:00:00.000000000Z,0.72138,0.72322,0.72028,0.72270
2015-10-21T17:00:00.000000000Z,0.72266,0.72290,0.72082,0.72086
2015-10-21T21:00:00.000000000Z,0.72107,0.72198,0.72046,0.72158
2015-10-22T01:00:00.000000000Z,0.72153,0.72395,0.71830,0.72030
2015-10-22T05:00:00.000000000Z,0.72034,0.72262,0.71940,0.72232
2015-10-22T09:00:00.000000000Z,0.72228,0.72265,0.71856,0.72006
2015-10-22T13:00:00.000000000Z,0.72006,0.72372,0.71956,0.72196
2015-10-22T17:00:00.000000000Z,0.72192,0.72192,0.71984,0.72078
2015-10-22T21:00:00.000000000Z,0.72072,0.72322,0.71980,0.72272
2015-10-23T01:00:00.000000000Z,0.72269,0.72565,0.72262,0.72503
2015-10-23T05:00:00.000000000Z,0.72506,0.72894,0.72465,0.72697
2015-10-23T09:00:00.000000000Z,0.72692,0.72970,0.72302,0.72372
2015-10-23T13:00:00.000000000Z,0.72372,0.72372,0.72017,0.72184
2015-10-23T17:00:00.000000000Z,0.72179,0.72199,0.72068,0.72178
2015-10-25T21:00:00.000000000Z,0.72183,0.72318,0.72082,0.72279
2015-10-26T01:00:00.000000000Z,0.72275,0.72644,0.72272,0.72548
2015-10-26T05:00:00.000000000Z,0.72543,0.72665,0.72448,0.72573
2015-10-26T09:00:00.000000000Z,0.72570,0.72638,0.72481,0.72554
2015-10-26T13:00:00.000000000Z,0.72550,0.72697,0.72474,0.72606
2015-10-26T17:00:00.000000000Z,0.72610,0.72640,0.72412,0.72486
2015-10-26T21:00:00.000000000Z,0.72476,0.72518,0.72368,0.72486
2015-10-27T01:00:00.000000000Z,0.72489,0.72554,0.72280,0.72323
2015-10-27T05:00:00.000000000Z,0.72328,0.72584,0.72328,0.72542
2015-10-27T09:00:00.000000000Z,0.72538,0.72546,0.72294,0.72335
2015-10-27T13:00:00.000000000Z,0.72331,0.72434,0.72078,0.72116
2015-10-27T17:00:00.000000000Z,0.72113,0.72129,0.71792,0.71930
2015-10-27T21:00:00.000000000Z,0.71924,0.72071,0.71184,0.71253
2015-10-28T01:00:00.000000000Z,0.71258,0.71360,0.71118,0.71210
2015-10-28T05:00:00.000000000Z,0.71214,0.71355,0.71132,0.71253
2015-10-28T09:00:00.000000000Z,0.71248,0.71386,0.71200,0.71330
2015-10-28T13:00:00.000000000Z,0.71328,0.71538,0.71220,0.71446
2015-10-28T17:00:00.000000000Z,0.71440,0.71598,0.70810,0.71120
2015-10-28T21:00:00.000000000Z,0.71176,0.71178,0.70917,0.70980
2015-10-29T01:00:00.000000000Z,0.70984,0.71133,0.70972,0.71028
2015-10-29T05:00:00.000000000Z,0.71032,0.71191,0.70843,0.70946
2015-10-29T09:00:00.000000000Z,0.70942,0.71058,0.70828,0.70867
2015-10-29T13:00:00.000000000Z,0.70870,0.71028,0.70692,0.70756
2015-10-29T17:00:00.000000000Z,0.70760,0.70810,0.70678,0.70724
2015-10-29T21:00:00.000000000Z,0.70706,0.71087,0.70692,0.71044
2015-10-30T01:00:00.000000000Z,0.71040,0.71176,0.70940,0.70990
2015-10-30T05:00:00.000000000Z,0.70994,0.71372,0.70965,0.71008
2015-10-30T09:00:00.000000000Z,0.71012,0.71133,0.70886,0.70886
2015-10-30T13:00:00.000000000Z,0.70881,0.71456,0.70847,0.71423
2015-10-30T17:00:00.000000000Z,0.71428,0.71483,0.71268,0.71370
2015-11-01T22:00:00.000000000Z,0.71162,0.71500,0.71156,0.71435
2015-11-02T02:00:00.000000000Z,0.71439,0.71467,0.71356,0.71411
2015-11-02T06:00:00.000000000Z,0.71406,0.71535,0.71302,0.71307
2015-11-02T10:00:00.000000000Z,0.71311,0.71453,0.71286,0.71401
2015-11-02T14:00:00.000000000Z,0.71396,0.71500,0.71328,0.71370
2015-11-02T18:00:00.000000000Z,0.71366,0.71500,0.71328,0.71460
2015-11-02T22:00:00.000000000Z,0.71469,0.71728,0.71404,0.71627
2015-11-03T02:00:00.000000000Z,0.71632,0.72131,0.71134,0.71966
2015-11-03T06:00:00.000000000Z,0.71960,0.72189,0.71770,0.71813
2015-11-03T10:00:00.000000000Z,0.71817,0.71886,0.71575,0.71648
2015-11-03T14:00:00.000000000Z,0.71652,0.71956,0.71515,0.71904
2015-11-03T18:00:00.000000000Z,0.71908,0.72000,0.71836,0.71860
2015-11-03T22:00:00.000000000Z,0.71850,0.72076,0.71794,0.72066
2015-11-04T02:00:00.000000000Z,0.72069,0.72241,0.71988,0.72086
2015-11-04T06:00:00.000000000Z,0.72082,0.72168,0.71843,0.71899
2015-11-04T10:00:00.000000000Z,0.71903,0.71960,0.71622,0.71622
2015-11-04T14:00:00.000000000Z,0.71618,0.71724,0.71383,0.71518
2015-11-04T18:00:00.000000000Z,0.71514,0.71552,0.71362,0.71482
2015-11-04T22:00:00.000000000Z,0.71468,0.71512,0.71264,0.71446
2015-11-05T02:00:00.000000000Z,0.71442,0.71560,0.71406,0.71475
2015-11-05T06:00:00.000000000Z,0.71470,0.71511,0.71262,0.71302
2015-11-05T10:00:00.000000000Z,0.71298,0.71636,0.71257,0.71599
2015-11-05T14:00:00.000000000Z,0.71604,0.71698,0.71380,0.71476
2015-11-05T18:00:00.000000000Z,0.71472,0.71478,0.71388,0.71434
2015-11-05T22:00:00.000000000Z,0.71422,0.71582,0.71377,0.71442
2015-11-06T02:00:00.000000000Z,0.71446,0.71476,0.71399,0.71439
2015-11-06T06:00:00.000000000Z,0.71442,0.71701,0.71401,0.71514
2015-11-06T10:00:00.000000000Z,0.71516,0.71576,0.70594,0.70676
2015-11-06T14:00:00.000000000Z,0.70672,0.70738,0.70230,0.70320
2015-11-06T18:00:00.000000000Z,0.70317,0.70506,0.70284,0.70434
2015-11-08T22:00:00.000000000Z,0.70273,0.70487,0.70270,0.70487
2015-11-09T02:00:00.000000000Z,0.70484,0.70649,0.70420,0.70644
2015-11-09T06:00:00.000000000Z,0.70641,0.70662,0.70418,0.70556
2015-11-09T10:00:00.000000000Z,0.70552,0.70702,0.70474,0.70498
2015-11-09T14:00:00.000000000Z,0.70493,0.70542,0.70394,0.70428
2015-11-09T18:00:00.000000000Z,0.70424,0.70541,0.70408,0.70478
2015-11-09T22:00:00.000000000Z,0.70452,0.70516,0.70408,0.70487
2015-11-10T02:00:00.000000000Z,0.70484,0.70560,0.70454,0.70509
2015-11-10T06:00:00.000000000Z,0.70514,0.70624,0.70488,0.70566
2015-11-10T10:00:00.000000000Z,0.70562,0.70646,0.70291,0.70338
2015-11-10T14:00:00.000000000Z,0.70333,0.70374,0.70196,0.70346
2015-11-10T18:00:00.000000000Z,0.70342,0.70355,0.70161,0.70312
2015-11-10T22:00:00.000000000Z,0.70294,0.70630,0.70254,0.70597
2015-11-11T02:00:00.000000000Z,0.70594,0.70784,0.70560,0.70644
2015-11-11T06:00:00.000000000Z,0.70650,0.70689,0.70538,0.70602
2015-11-11T10:00:00.000000000Z,0.70598,0.70658,0.70403,0.70658
2015-11-11T14:00:00.000000000Z,0.70661,0.70706,0.70493,0.70510
2015-11-11T18:00:00.000000000Z,0.70507,0.70654,0.70494,0.70616
2015-11-11T22:00:00.000000000Z,0.70606,0.71543,0.70606,0.71464
2015-11-12T02:00:00.000000000Z,0.71469,0.71484,0.71352,0.71388
2015-11-12T06:00:00.000000000Z,0.71384,0.71512,0.71283,0.71302
2015-11-12T10:00:00.000000000Z,0.71298,0.71393,0.71038,0.71056
2015-11-12T14:00:00.000000000Z,0.71052,0.71322,0.70869,0.71148
2015-11-12T18:00:00.000000000Z,0.71153,0.71308,0.71144,0.71264
2015-11-12T22:00:00.000000000Z,0.71273,0.71366,0.71213,0.71326
2015-11-13T02:00:00.000000000Z,0.71330,0.71391,0.71282,0.71332
2015-11-13T06:00:00.000000000Z,0.71329,0.71384,0.71197,0.71338
2015-11-13T10:00:00.000000000Z,0.71341,0.71590,0.71232,0.71248
2015-11-13T14:00:00.000000000Z,0.71254,0.71300,0.71065,0.71200
2015-11-13T18:00:00.000000000Z,0.71196,0.71316,0.71168,0.71252
2015-11-15T22:00:00.000000000Z,0.71205,0.71292,0.70992,0.71059
2015-11-16T02:00:00.000000000Z,0.71064,0.71180,0.71060,0.71115
2015-11-16T06:00:00.000000000Z,0.71118,0.71325,0.71112,0.71203
2015-11-16T10:00:00.000000000Z,0.71207,0.71230,0.70900,0.70967
2015-11-16T14:00:00.000000000Z,0.70967,0.70967,0.70806,0.70886
2015-11-16T18:00:00.000000000Z,0.70890,0.70989,0.70890,0.70968
2015-11-16T22:00:00.000000000Z,0.70962,0.71084,0.70862,0.71003
2015-11-17T02:00:00.000000000Z,0.70998,0.71006,0.70796,0.70848
2015-11-17T06:00:00.000000000Z,0.70844,0.71072,0.70724,0.71072
2015-11-17T10:00:00.000000000Z,0.71077,0.71360,0.71012,0.71230
2015-11-17T14:00:00.000000000Z,0.71226,0.71400,0.71123,0.71216
2015-11-17T18:00:00.000000000Z,0.71212,0.71232,0.71113,0.71113
2015-11-17T22:00:00.000000000Z,0.71112,0.71168,0.70954,0.70968
2015-11-18T02:00:00.000000000Z,0.70972,0.71042,0.70909,0.71011
2015-11-18T06:00:00.000000000Z,0.71010,0.71178,0.70908,0.71100
2015-11-18T10:00:00.000000000Z,0.71104,0.71146,0.70922,0.70976
2015-11-18T14:00:00.000000000Z,0.70973,0.71075,0.70726,0.70810
2015-11-18T18:00:00.000000000Z,0.70813,0.71158,0.70694,0.71109
2015-11-18T22:00:00.000000000Z,0.71104,0.71689,0.71022,0.71572
2015-11-19T02:00:00.000000000Z,0.71576,0.71768,0.71506,0.71682
2015-11-19T06:00:00.000000000Z,0.71678,0.71789,0.71530,0.71688
2015-11-19T10:00:00.000000000Z,0.71684,0.71806,0.71534,0.71568
2015-11-19T14:00:00.000000000Z,0.71572,0.72146,0.71528,0.71932
2015-11-19T18:00:00.000000000Z,0.71928,0.71974,0.71901,0.71944
2015-11-19T22:00:00.000000000Z,0.71940,0.71967,0.71841,0.71894
2015-11-20T02:00:00.000000000Z,0.71890,0.72108,0.71878,0.71994
2015-11-20T06:00:00.000000000Z,0.71998,0.72174,0.71898,0.72139
2015-11-20T10:00:00.000000000Z,0.72144,0.72388,0.72014,0.72356
2015-11-20T14:00:00.000000000Z,0.72351,0.72504,0.72284,0.72379
2015-11-20T18:00:00.000000000Z,0.72376,0.72449,0.72332,0.72380
2015-11-22T22:00:00.000000000Z,0.72310,0.72338,0.71847,0.71932
